Candidate ID Number,Position Title,Department,Furthest Recruiting Stage Reached,Date of Application,Application Source,Years of Experience,Candidate Type,Degree,School,Major,Degree,School,Major,Degree,School,Major,Degree,School,Major
3668741,Associate Product Manager,Product,New Application,11/17/16,Campus Event,0,Campus,Bachelors,NYU,Computer Science,Bachelors,UC Berkeley,Physics,,,,,,
783317,Operations Coordinator,Operations,New Application,12/22/17,Campus Job Board,0,Campus,Bachelors,Harvard,Political Science,,,,,,,,,
2046362,Business Operations Manager,Operations,New Application,6/20/18,Agency,6,Experienced,Bachelors,Columbia,Statistics,Masters,NYU,Computer Science,Masters,University of Washington,Mathematics,,,
39321,System Engineer,Engineering,New Application,9/4/18,Career Fair,0,Campus,Bachelors,University of Washington,Computer Science,,,,,,,,,
222272,Operations Generalist,Operations,New Application,11/8/18,Campus Job Board,2,Campus,PhD,NYU,Physics,Bachelors,Columbia,Statistics,,,,,,
10593,Associate Relationship Manager,Sales,New Application,11/12/16,Campus Job Board,0,Campus,Bachelors,University of Washington,Statistics,,,,,,,,,
1691609,Associate Relationship Manager,Sales,New Application,1/27/17,Campus Job Board,0,Campus,Bachelors,NYU,Psychology,,,,,,,,,
6326312,Associate Relationship Manager,Sales,Phone Screen,3/11/16,Campus Job Board,2,Campus,Bachelors,Harvard,Business,Bachelors,Georgia Tech,English,,,,,,
103092,System Engineer,Engineering,New Application,11/1/16,Career Fair,0,Campus,Bachelors,Harvard,Statistics,,,,,,,,,
13196,Associate Product Manager,Product,New Application,1/7/16,Campus Job Board,0,Campus,Bachelors,MIT,Mathematics,,,,,,,,,
135087,Operations Coordinator,Operations,New Application,8/3/18,Campus Event,0,Campus,Bachelors,Columbia,Business,,,,,,,,,
1772834,Sr. Product Manager,Product,New Application,4/20/18,Website,5,Experienced,Bachelors,Columbia,Mathematics,PhD,Harvard,Physics,,,,,,
524777,Finance Manager,Finance,New Application,12/26/18,Website,7,Experienced,Masters,Columbia,Sociology,Bachelors,NYU,Political Science,Bachelors,NYU,Business,,,
4122986,Financial Analyst,Finance,New Application,10/4/17,Campus Job Board,0,Campus,Bachelors,University of Texas,Economics,,,,,,,,,
1097711,Account Executive,Sales,New Application,10/6/17,Website,8,Experienced,Bachelors,Harvard,Sociology,,,,,,,,,
3628796,Associate Product Manager,Product,New Application,8/6/18,Campus Job Board,0,Campus,Bachelors,MIT,Physics,,,,,,,,,
27058,Sr. Business Analyst,IT,New Application,7/27/18,Advertisement,13,Experienced,Bachelors,University of Texas,Mathematics,,,,,,,,,
5021772,Associate Product Manager,Product,New Application,11/18/18,Campus Job Board,0,Campus,Bachelors,Harvard,Mathematics,,,,,,,,,
101255,System Engineer,Engineering,New Application,12/14/17,Campus Job Board,0,Campus,Bachelors,NYU,Statistics,,,,,,,,,
6242267,Associate Relationship Manager,Sales,Phone Screen,3/20/18,Website,0,Campus,Masters,Columbia,Mathematics,Bachelors,Harvard,Psychology,,,,,,
444507,Associate Product Manager,Product,New Application,8/27/18,Website,0,Campus,Bachelors,University of Texas,Mathematics,,,,,,,,,
3722351,Associate Relationship Manager,Sales,In-House Interview,11/25/18,Campus Job Board,1,Campus,Bachelors,Columbia,Management,Bachelors,MIT,Economics,,,,,,
3993611,Associate Relationship Manager,Sales,New Application,2/2/16,Advertisement,0,Campus,Bachelors,Columbia,Business,,,,,,,,,
6091917,IT Analyst,IT,New Application,1/15/17,Campus Job Board,0,Campus,Bachelors,University of Washington,Computer Science,,,,,,,,,
611492,Associate Relationship Manager,Sales,New Application,10/28/16,Website,0,Campus,Bachelors,University of Texas,Business,,,,,,,,,
6262001,Associate Relationship Manager,Sales,New Application,10/10/16,Campus Job Board,0,Campus,Bachelors,University of Michigan,Statistics,,,,,,,,,
5766251,Associate Relationship Manager,Sales,New Application,9/12/16,Campus Job Board,0,Campus,Bachelors,MIT,English,,,,,,,,,
72965,System Engineer,Engineering,New Application,9/25/17,Advertisement,0,Campus,Bachelors,Columbia,Computer Science,,,,,,,,,
144861,Associate Relationship Manager,Sales,New Application,8/21/18,Campus Job Board,0,Campus,Bachelors,NYU,Psychology,,,,,,,,,
105882,Associate Relationship Manager,Sales,New Application,8/8/18,Campus Job Board,0,Campus,Masters,Columbia,Statistics,Bachelors,Columbia,Mathematics,,,,,,
827162,Sr. Customer Service Operations Associate,Operations,New Application,5/19/16,Agency,12,Experienced,Bachelors,UC Berkeley,Computer Science,,,,,,,,,
2603922,Associate Product Manager,Product,New Application,12/18/16,Campus Job Board,1,Campus,Masters,UC Berkeley,Computer Science,Bachelors,University of Washington,Economics,,,,,,
239982,Business Operations Manager,Operations,In-House Interview,1/27/18,Agency,6,Experienced,Bachelors,University of Texas,Mathematics,,,,,,,,,
6074231,Associate Product Manager,Product,New Application,10/13/17,Advertisement,1,Campus,PhD,UC Berkeley,Computer Science,Bachelors,Vanderbilt,Mathematics,,,,,,
39050,System Engineer,Engineering,New Application,9/23/16,Career Fair,0,Campus,Bachelors,NYU,Mathematics,,,,,,,,,
2236101,Sr. Business Analyst,IT,New Application,5/4/16,Website,15,Experienced,Bachelors,Harvard,Mathematics,,,,,,,,,
71843,System Engineer,Engineering,New Application,10/9/16,Campus Job Board,0,Campus,Bachelors,Harvard,Computer Science,,,,,,,,,
104667,System Engineer,Engineering,New Application,1/6/16,Campus Event,0,Campus,Bachelors,NYU,Mathematics,PhD,University of Texas,Statistics,,,,,,
